date; place
18.07.1942; Chemnitz; t
15.09.1942; Chemnitz; t
16.09.1942; Dresden; t
17.10.1942; Warschau; t
19.10.1942; Brest-Litowsk; t
20.10.1942; Kremenstövsk; t
30.10.1942; Kremenstövsk; t
30.10.1942; Bialystock; t
05.11.1942; Minsk; t
10.11.1942; Kalachy; t
24.12.1942; Kalachy; t
25.12.1942; Minsk; t
03.01.1943; Kiew; t
05.02.1943; Charkow; t
